Section,W,A,d,bf,tw,tf,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,T
W44X408,408.0,120.0,44.8,16.1,1.22,2.17,2.96,38700.0,2000.0,1730.0,18.0,1520.0,297.0,189.0,3.56,134,691000,38
W44X368,368.0,108.0,44.4,16,1.1,1.97,2.76,34700.0,1800.0,1560.0,17.9,1350.0,265.0,169.0,3.54,100,608000,38
W44X335,335.0,98.5,44,15.9,1.03,1.77,2.56,31100.0,1620.0,1410.0,17.8,1200.0,236.0,150.0,3.49,74.7,535000,38
W44X290,290.0,85.4,43.6,15.8,0.865,1.58,2.36,27000.0,1410.0,1240.0,17.8,1040.0,205.0,132.0,3.49,50.9,461000,38
W44X262,262.0,77.2,43.3,15.8,0.785,1.42,2.2,24100.0,1270.0,1110.0,17.7,923.0,182.0,117.0,3.47,37.3,405000,38
W44X230,230.0,67.8,42.9,15.8,0.71,1.22,2.01,20800.0,1100.0,971.0,17.5,796.0,157.0,101.0,3.43,24.9,346000,38
W40X655,655.0,193.0,43.6,16.9,1.97,3.54,4.72,56500.0,3080.0,2590.0,17.1,2870.0,542.0,340.0,3.86,589,1150000,34
W40X593,593.0,174.0,43,16.7,1.79,3.23,4.41,50400.0,2760.0,2340.0,17.0,2520.0,481.0,302.0,3.8,445,997000,34
W40X503,503.0,148.0,42.1,16.4,1.54,2.76,3.94,41600.0,2320.0,1980.0,16.8,2040.0,394.0,249.0,3.72,277,789000,34
W40X431,431.0,127.0,41.3,16.2,1.34,2.36,3.54,34800.0,1960.0,1690.0,16.6,1690.0,328.0,208.0,3.65,177,638000,34
W40X397,397.0,117.0,41,16.1,1.22,2.2,3.38,32000.0,1800.0,1560.0,16.6,1540.0,300.0,191.0,3.64,142,579000,34
W40X372,372.0,110.0,40.6,16.1,1.16,2.05,3.23,29600.0,1680.0,1460.0,16.5,1420.0,277.0,177.0,3.6,116,528000,34
W40X362,362.0,106.0,40.6,16,1.12,2.01,3.19,28900.0,1640.0,1420.0,16.5,1380.0,270.0,173.0,3.6,109,513000,34
W40X324,324.0,95.3,40.2,15.9,1,1.81,2.99,25600.0,1460.0,1280.0,16.4,1220.0,239.0,153.0,3.58,79.4,448000,34
W40X297,297.0,87.3,39.8,15.8,0.93,1.65,2.83,23200.0,1330.0,1170.0,16.3,1090.0,215.0,138.0,3.54,61.2,399000,34
W40X277,277.0,81.5,39.7,15.8,0.83,1.58,2.76,21900.0,1250.0,1100.0,16.4,1040.0,204.0,132.0,3.58,51.5,379000,34
W40X249,249.0,73.5,39.4,15.8,0.75,1.42,2.6,19600.0,1120.0,993.0,16.3,926.0,182.0,118.0,3.55,38.1,334000,34
W40X215,215.0,63.5,39,15.8,0.65,1.22,2.4,16700.0,964.0,859.0,16.2,803.0,156.0,101.0,3.54,24.8,284000,34
W40X199,199.0,58.8,38.7,15.8,0.65,1.07,2.25,14900.0,869.0,770.0,16.0,695.0,137.0,88.2,3.45,18.3,246000,34
W40X392,392.0,116.0,41.6,12.4,1.42,2.52,3.7,29900.0,1710.0,1440.0,16.1,803.0,212.0,130.0,2.64,172,306000,34
W40X331,331.0,97.7,40.8,12.2,1.22,2.13,3.31,24700.0,1430.0,1210.0,15.9,644.0,172.0,106.0,2.57,105,241000,34
W40X327,327.0,95.9,40.8,12.1,1.18,2.13,3.31,24500.0,1410.0,1200.0,16.0,640.0,170.0,105.0,2.58,103,239000,34
W40X294,294.0,86.2,40.4,12,1.06,1.93,3.11,21900.0,1270.0,1080.0,15.9,562.0,150.0,93.5,2.55,76.6,208000,34
W40X278,278.0,82.3,40.2,12,1.03,1.81,2.99,20500.0,1190.0,1020.0,15.8,521.0,140.0,87.1,2.52,65,192000,34
W40X264,264.0,77.4,40,11.9,0.96,1.73,2.91,19400.0,1130.0,971.0,15.8,493.0,132.0,82.6,2.52,56.1,181000,34
W40X235,235.0,69.1,39.7,11.9,0.83,1.58,2.76,17400.0,1010.0,875.0,15.9,444.0,118.0,74.6,2.54,41.3,161000,34
W40X211,211.0,62.1,39.4,11.8,0.75,1.42,2.6,15500.0,906.0,786.0,15.8,390.0,105.0,66.1,2.51,30.4,141000,34
W40X183,183.0,53.3,39,11.8,0.65,1.2,2.38,13200.0,774.0,675.0,15.7,331.0,88.3,56.0,2.49,19.3,118000,34
W40X167,167.0,49.3,38.6,11.8,0.65,1.03,2.21,11600.0,693.0,600.0,15.3,283.0,76.0,47.9,2.4,14,99700,34
W40X149,149.0,43.8,38.2,11.8,0.63,0.83,2.01,9800.0,598.0,513.0,15.0,229.0,62.2,38.8,2.29,9.36,80000,34
W36X925,925.0,272.0,43.1,18.6,3.02,4.53,5.28,73000.0,4130.0,3390.0,16.4,4940.0,862.0,531.0,4.26,1430,1840000,32.375
W36X853,853.0,251.0,43.1,18.2,2.52,4.53,5.28,70000.0,3920.0,3250.0,16.7,4600.0,805.0,505.0,4.28,1240,1710000,32.375
W36X802,802.0,236.0,42.6,18,2.38,4.29,5.04,64800.0,3660.0,3040.0,16.6,4210.0,744.0,468.0,4.22,1050,1540000,32.375
W36X723,723.0,213.0,41.8,17.8,2.17,3.9,4.65,57300.0,3270.0,2740.0,16.4,3700.0,658.0,416.0,4.17,785,1330000,32.375
W36X652,652.0,192.0,41.1,17.6,1.97,3.54,4.49,50600.0,2910.0,2460.0,16.2,3230.0,581.0,367.0,4.1,593,1130000,31.375
W36X529,529.0,156.0,39.8,17.2,1.61,2.91,3.86,39600.0,2330.0,1990.0,16.0,2490.0,454.0,289.0,4.0,327,846000,31.375
W36X487,487.0,143.0,39.3,17.1,1.5,2.68,3.63,36000.0,2130.0,1830.0,15.8,2250.0,412.0,263.0,3.96,258,754000,31.375
W36X441,441.0,130.0,38.9,17,1.36,2.44,3.39,32100.0,1910.0,1650.0,15.7,1990.0,368.0,235.0,3.92,194,661000,31.375
W36X395,395.0,116.0,38.4,16.8,1.22,2.2,3.15,28500.0,1710.0,1490.0,15.7,1750.0,325.0,208.0,3.88,142,575000,31.375
W36X361,361.0,106.0,38,16.7,1.12,2.01,2.96,25700.0,1550.0,1350.0,15.6,1570.0,293.0,188.0,3.85,109,509000,31.375
W36X330,330.0,96.9,37.7,16.6,1.02,1.85,2.8,23300.0,1410.0,1240.0,15.5,1420.0,265.0,171.0,3.83,84.3,456000,31.375
W36X302,302.0,89.0,37.3,16.7,0.945,1.68,2.63,21100.0,1280.0,1130.0,15.4,1300.0,241.0,156.0,3.82,64.3,412000,31.375
W36X282,282.0,82.9,37.1,16.6,0.885,1.57,2.52,19600.0,1190.0,1050.0,15.4,1200.0,223.0,144.0,3.8,52.7,378000,31.375
W36X262,262.0,77.2,36.9,16.6,0.84,1.44,2.39,17900.0,1100.0,972.0,15.3,1090.0,204.0,132.0,3.76,41.6,342000,31.375
W36X247,247.0,72.5,36.7,16.5,0.8,1.35,2.3,16700.0,1030.0,913.0,15.2,1010.0,190.0,123.0,3.74,34.7,316000,31.375
W36X231,231.0,68.2,36.5,16.5,0.76,1.26,2.21,15600.0,963.0,854.0,15.1,940.0,176.0,114.0,3.71,28.7,292000,31.375
W36X387,387.0,114.0,39.1,12.7,1.42,2.56,3.31,26500.0,1610.0,1360.0,15.2,882.0,224.0,139.0,2.78,172,294000,31.5
W36X350,350.0,103.0,38.6,12.6,1.3,2.32,3.07,23600.0,1440.0,1220.0,15.1,780.0,199.0,124.0,2.75,129,257000,31.5
W36X318,318.0,93.4,38.2,12.4,1.18,2.13,2.88,21200.0,1300.0,1110.0,15.1,682.0,176.0,110.0,2.7,98.3,222000,31.5
W36X286,286.0,83.9,37.8,12.3,1.06,1.93,2.68,18900.0,1160.0,1000.0,15.0,602.0,156.0,97.9,2.68,72.8,194000,31.5
W36X256,256.0,75.3,37.4,12.2,0.96,1.73,2.48,16800.0,1040.0,895.0,14.9,528.0,137.0,86.5,2.65,52.9,168000,31.5
W36X232,232.0,68.0,37.1,12.1,0.87,1.57,2.32,15000.0,936.0,809.0,14.8,468.0,122.0,77.2,2.62,39.6,148000,31.5
W36X210,210.0,61.9,36.7,12.2,0.83,1.36,2.11,13200.0,833.0,719.0,14.6,411.0,107.0,67.5,2.58,28,128000,31.5
W36X194,194.0,57.0,36.5,12.1,0.765,1.26,2.01,12100.0,767.0,664.0,14.6,375.0,97.7,61.9,2.56,22.2,116000,31.5
W36X182,182.0,53.6,36.3,12.1,0.725,1.18,1.93,11300.0,718.0,623.0,14.5,347.0,90.7,57.6,2.55,18.5,107000,31.5
W36X170,170.0,50.0,36.2,12,0.68,1.1,1.85,10500.0,668.0,581.0,14.5,320.0,83.8,53.2,2.53,15.1,98500,31.5
